t,T1,T2,T3,T4,
459,200.25,18.50,19.25,19.00,
460,200.50,18.50,18.75,19.00,
461,200.75,18.75,19.00,19.25,
462,201.00,18.25,18.75,19.00,
463,200.75,18.50,18.75,19.25,
464,201.00,18.50,18.75,19.25,
465,201.25,18.50,18.75,19.00,
466,201.25,18.50,19.00,18.50,
467,201.00,18.75,18.75,18.75,
468,201.25,18.50,18.25,19.00,
469,201.75,18.25,18.50,19.00,
470,202.25,18.50,18.50,19.50,
471,202.25,18.50,19.00,19.00,
472,202.50,18.00,19.00,19.25,
473,202.00,18.50,18.25,18.75,
474,202.50,18.50,18.50,19.50,
475,202.50,18.75,19.25,19.25,
476,202.75,18.75,18.50,19.50,
477,203.00,18.50,19.25,19.25,
478,202.75,19.25,19.00,19.25,
479,203.25,18.75,18.75,19.00,
480,203.25,19.00,18.75,19.00,
481,202.75,19.00,18.75,19.75,
482,202.25,19.00,18.75,19.25,
483,201.50,19.00,18.75,19.50,
484,200.75,19.25,18.50,19.00,
485,200.00,19.50,18.25,19.00,
486,198.25,19.25,19.00,19.50,
487,198.25,19.75,18.25,19.00,
488,197.00,20.25,18.25,18.75,
489,196.00,24.00,19.00,19.00,
490,195.25,25.00,18.75,18.75,
491,194.25,21.00,18.75,19.25,
492,193.25,21.25,18.00,19.25,
493,192.50,21.25,18.50,18.75,
494,191.50,22.00,18.50,19.00,
495,190.50,22.50,18.50,19.00,
496,189.75,23.00,18.75,19.25,
497,188.25,23.50,18.25,19.00,
498,187.00,24.25,18.50,19.00,
499,186.50,24.25,18.75,18.75,
501,186.00,24.75,18.25,19.25,
502,185.25,25.25,18.25,19.25,
503,184.25,25.75,18.25,19.00,
504,183.50,26.50,18.00,19.25,
505,183.25,26.75,18.25,19.25,
506,182.50,27.50,18.00,19.25,
507,182.25,27.75,18.25,18.50,
508,182.00,28.00,18.00,19.25,
509,182.00,29.00,17.75,19.25,
510,181.75,29.25,18.25,19.00,
511,181.25,29.75,18.25,19.00,
512,180.75,30.50,18.50,18.75,
513,181.00,30.75,18.50,19.00,
514,180.50,31.50,18.00,18.75,
515,180.25,32.75,18.00,19.25,
516,180.75,33.00,18.50,18.75,
517,180.25,34.00,18.25,19.00,
518,179.75,34.50,17.75,19.00,
519,180.00,35.00,18.50,18.75,
520,180.00,35.75,18.25,19.50,
521,180.00,36.25,18.00,19.25,
522,180.00,36.25,18.00,18.75,
523,179.50,37.50,18.25,19.00,
524,180.00,38.25,18.00,18.75,
525,179.75,38.50,18.00,19.00,
526,179.75,39.25,18.00,18.75,
527,179.25,39.50,18.00,19.25,
528,179.75,40.50,18.25,18.75,
529,179.50,40.25,18.50,19.25,
